Project name,Authors
Enhancing minBERT for Multi-Task NLP: Architectural and Training Innovations,Xinxie Wu
Enhancing multi-task fine-tuning on BERT-based model,Xiaochen Xiong
Task-Specific Parameter Efficient Fine-Tuning for Improving Multitask BERT,Brian K. Ryu
Adapt BERT on Multiple Downstream Tasks,Ran Li
Post-Op BERT: Improving Gradient-Surgery on Imbalanced Data,Giancarlo Ricci
Improving Semantic Meaning of BERT Sentence Embeddings,Timothy Yao
Improving the Performance of BERT Using Contrastive Learning and Meta-Learning,"Akash Gupta, Justin Shen, Peter Westbrook"
Fine-Tuning BERT for Multi-Task Prediction,Uma Dayal
Robust Adaptation of BERT using SMART,Ozgur Cetin
Improving minBERT with Conditional Layer Normalization,Matan Abrams
Multi-task Learning with minBERT,Praneet Bhoj
optiBERT: Fine-Tuning BERT for Optimal Performance,Jirah Taylor
Multitask Finetuning for MinBERT,Ethan Boneh
ConCATenation Curiosity: Evaluating Multitask Performance of minBERT,"Prithvi Krishnarao, Emily Redmond"
Parameter Efficient Fine-Tuning for Multi-Task BERT,"Zhen Wu, Genghan Zhang, Alexa Hu"
Multi-task BERT Fine-Tuning with Gradient Tricks,Henry Ang
PowerBERT: Improving BERT with a Power Set Ensemble of Fine-Tuned Single and Multitask Models,"Eric Lee, Kevin Song, Jeanette Han"
PALs of MTL: Investigating Task Scheduling Algorithms in the Presence of PALs,"Kris Jeong, Pauline Arnoud"
BERT with LORA: Low-rank Adaptation Of Large Language Models,Tolu Oyeniyi
From BERT to Brilliance: An Analytical Approach to Advancing Multitask Learning for NLP,"Akea Pavel, Adrian Mendoza-Perez"
Comparing BERT Fine-Tuning Methods,"Adrian Stoll, Jennifer Ho, Daniel Tyshler"
"Dynamic Weight Adjustment for Multitask BERT: An Approach to Sentiment, Paraphrase, and Similarity Tasks",Marco Pizarro
"Multitask training BERT for Sentiment Analysis, Semantic Textual Similarity, and Paraphrase Detection",Feiyang Kuang
BERT Multitask Methods for Low-Parameter Fine-Tuning,Elton Manchester
miniBert Unleashed,"John Cao, David Kwentua"
Implementing and Enhancing minBERT for Optimized Performance on Multiple Downstream Classification Tasks,Priti Rangnekar
